id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,surface_terrain,longitude,latitude,section_prefixe,Anciennete_date_mutation
2025-415155,2025-01-24,1,Vente,310000.0,226.0,,AV AMIRAL KRANTZ,0245,83100.0,83137,Toulon,83,,,,,,,,,,,,0,1.0,Maison,99.0,6.0,445.0,5.97406,43.129201,000AX,406
2025-415161,2025-02-14,1,Vente,300000.0,9.0,B,AV PRE DES PECHEURS,5940,83000.0,83137,Toulon,83,,5.0,58.27,6.0,,,,,,,,2,2.0,Appartement,58.0,3.0,,5.940311,43.10861,000BV,385
2025-415172,2025-02-12,1,Vente,110000.0,273.0,,BD GENERAL BROSSET,3233,83200.0,83137,Toulon,83,,38.0,,55.0,63.79,,,,,,,2,2.0,Appartement,63.0,3.0,,5.903488,43.128355,000CW,387
2025-415174,2025-02-11,1,Vente,157000.0,96.0,,BD BAUCHIERE,0650,83200.0,83137,Toulon,83,,56.0,40.2,,,,,,,,,1,2.0,Appartement,40.0,2.0,,5.917807,43.128627,000CY,388
2025-415176,2025-01-30,1,Vente,170000.0,119.0,,RUE LAMARTINE,4270,83000.0,83137,Toulon,83,,52.0,,78.0,68.62,,,,,,,2,2.0,Appartement,69.0,4.0,,5.943986,43.122953,000CI,400
2025-415177,2025-01-22,1,Vente,278000.0,98.0,,RUE PIERRE BAZUS,5752,83200.0,83137,Toulon,83,,1.0,73.0,,,,,,,,,1,2.0,Appartement,80.0,4.0,,5.903279,43.148625,000DY,408
2025-415188,2025-02-19,1,Vente,60880.0,27.0,,BD EDGAR AMIGAS,2470,83000.0,83137,Toulon,83,,174.0,,,,,,,,,,1,2.0,Appartement,17.0,1.0,,5.943067,43.123442,000CI,380
2025-415205,2025-02-19,1,Vente,138000.0,273.0,,AV LOUIS BARTHOU,4585,83000.0,83137,Toulon,83,,137.0,,86.0,56.86,,,,,,,2,2.0,Appartement,58.0,3.0,,5.963012,43.119373,000BH,380
2025-415217,2025-02-17,1,Vente,147500.0,84.0,,RUE D ALEP,0100,83200.0,83137,Toulon,83,,41.0,,60.0,52.5,,,,,,,2,2.0,Appartement,65.0,3.0,,5.898175,43.142156,000DT,382
2025-415226,2025-02-17,1,Vente,205400.0,34.0,,ALL DES FLAMBOYANTS,1161,83100.0,83137,Toulon,83,,202.0,58.54,,,,,,,,,1,2.0,Appartement,58.0,3.0,,,,000AX,382
2025-415227,2025-02-05,1,Vente,228500.0,111.0,,RUE PASCAL D ORIANO,5585,83000.0,83137,Toulon,83,,59.0,,72.0,66.11,,,,,,,2,2.0,Appartement,63.0,4.0,,5.950705,43.113168,000BS,394
