id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,surface_terrain,longitude,latitude,section_prefixe,Anciennete_date_mutation
2024-1010956,2024-02-27,1,Vente,477000.0,133.0,,RUE ORVES,5515,83000.0,83137,Toulon,83,,,,,,,,,,,,0,2.0,Appartement,31.0,2.0,78.0,5.939776,43.111483,000BV,738
2024-1010956,2024-02-27,1,Vente,477000.0,133.0,,RUE ORVES,5515,83000.0,83137,Toulon,83,,,,,,,,,,,,0,2.0,Appartement,21.0,2.0,78.0,5.939776,43.111483,000BV,738
2024-1010957,2024-03-07,1,Vente,339000.0,6.0,,RUE ZENON PONS,7330,83000.0,83137,Toulon,83,,,,,,,,,,,,0,1.0,Maison,50.0,3.0,428.0,5.955687,43.116941,000BP,729
2024-1010968,2024-03-13,1,Vente,286000.0,67.0,,RUE LEON ISNARD,4405,83100.0,83137,Toulon,83,,,,,,,,,,,,0,1.0,Maison,49.0,3.0,204.0,5.973512,43.120119,000BD,723
2024-1011067,2024-02-29,1,Vente,413000.0,100.0,,RUE GENERAL CHANGARNIER,3250,83000.0,83137,Toulon,83,,,,,,,,,,,,0,2.0,Appartement,29.0,2.0,230.0,5.927129,43.13345,000AN,736
2024-1011067,2024-02-29,1,Vente,413000.0,100.0,,RUE GENERAL CHANGARNIER,3250,83000.0,83137,Toulon,83,,,,,,,,,,,,0,2.0,Appartement,26.0,2.0,230.0,5.927129,43.13345,000AN,736
2024-1011067,2024-02-29,1,Vente,413000.0,100.0,,RUE GENERAL CHANGARNIER,3250,83000.0,83137,Toulon,83,,,,,,,,,,,,0,2.0,Appartement,20.0,1.0,230.0,5.927129,43.13345,000AN,736
2024-1011067,2024-02-29,1,Vente,413000.0,100.0,,RUE GENERAL CHANGARNIER,3250,83000.0,83137,Toulon,83,,,,,,,,,,,,0,2.0,Appartement,38.0,2.0,230.0,5.927129,43.13345,000AN,736
2024-1011067,2024-02-29,1,Vente,413000.0,100.0,,RUE GENERAL CHANGARNIER,3250,83000.0,83137,Toulon,83,,,,,,,,,,,,0,2.0,Appartement,58.0,3.0,230.0,5.927129,43.13345,000AN,736
2024-1011093,2024-03-13,1,Vente,300000.0,218.0,,BD FOURNIOL,2960,83200.0,83137,Toulon,83,,1.0,53.25,,,,,,,,,1,1.0,Maison,65.0,3.0,284.0,5.915699,43.139423,000DH,723
